Datasets,Layer,Batch,Epoch,Seed,Accuracy,std
MUTAG,12,128,100,312,0.8988304093567251,0.0556816052335328
MUTAG,12,128,100,231,0.8134502923976609,0.16581190479153204
MUTAG,12,256,20,123,0.8511695906432749,0.0655707866348717
MUTAG,12,256,20,132,0.8400584795321636,0.07975598450950155
MUTAG,12,256,20,321,0.84093567251462,0.0888350098327871
MUTAG,12,256,20,312,0.8625730994152047,0.0781528134376052
MUTAG,12,256,20,231,0.8461988304093568,0.08607821629667206
MUTAG,12,256,40,123,0.7883040935672515,0.15356417824942536
MUTAG,12,256,40,132,0.8242690058479532,0.09172575671789468
MUTAG,12,256,40,321,0.8301169590643276,0.09311339120463376
MUTAG,12,256,40,312,0.8774853801169591,0.07208002669688399
MUTAG,12,256,40,231,0.8350877192982458,0.09282601131468757
MUTAG,12,256,100,123,0.7883040935672515,0.15356417824942536
MUTAG,12,256,100,132,0.8242690058479532,0.09172575671789468
MUTAG,12,256,100,321,0.8301169590643276,0.09311339120463376
MUTAG,12,256,100,312,0.8774853801169591,0.07208002669688399
MUTAG,12,256,100,231,0.8350877192982458,0.09282601131468757
