epoch,mean accuracy,std of accuracies
107,0.8140350877192981,0.07482409863907412
108,0.7769005847953216,0.07287744075280193
109,0.7812865497076024,0.08196318992021981
110,0.7871345029239766,0.10122872895485314
111,0.7286549707602339,0.09089570585215645
112,0.7710526315789473,0.09834346630734135
113,0.804093567251462,0.06980898471528257
114,0.8137426900584795,0.0927785656723207
115,0.7809941520467836,0.1028512668479757
116,0.7862573099415205,0.0971046424382027
117,0.7883040935672514,0.10703671575945531
118,0.7874269005847954,0.09442271580293189
119,0.7675438596491228,0.11470973027081166
120,0.7976608187134503,0.08820334285721276
121,0.8181286549707603,0.08243125168736096
122,0.7652046783625732,0.09407801019176336
123,0.7923976608187134,0.08659118652023884
124,0.7871345029239766,0.0786087605294016
125,0.7654970760233918,0.08014896701292076
126,0.7932748538011695,0.08839941023540934
127,0.7868421052631579,0.10612423959045147
128,0.7710526315789473,0.10049337951131138
129,0.7929824561403509,0.06775554787349818
130,0.7923976608187134,0.055370575389767064
131,0.7921052631578946,0.10837229295270202
132,0.8143274853801168,0.06664165427984517
133,0.8038011695906434,0.045644951286220155
134,0.8078947368421053,0.07709600944189555
135,0.7921052631578946,0.10127643683560862
136,0.7663742690058479,0.08122604925933857
137,0.7660818713450291,0.07988398276738798
138,0.8131578947368421,0.06993685075064131
139,0.7982456140350875,0.11423733751648917
140,0.760233918128655,0.08713254050146983
141,0.771345029239766,0.06258676136585221
142,0.808187134502924,0.0833225600915583
143,0.7926900584795322,0.09715745545297833
144,0.7660818713450291,0.033796919945730745
145,0.8146198830409356,0.07077231543470461
146,0.8032163742690057,0.09125477566835462
147,0.7970760233918128,0.06458216464223872
148,0.8304093567251462,0.08662080215806092
149,0.787719298245614,0.09648413938165057
150,0.7970760233918128,0.08369113706055721
151,0.7821637426900584,0.07903666165329884
152,0.7710526315789473,0.07527806029392321
153,0.8134502923976609,0.05062449849784596
154,0.8198830409356725,0.09119995068206788
155,0.7923976608187134,0.05593896628569879
156,0.7777777777777779,0.07186085220727781
157,0.7865497076023391,0.07342617028563608
158,0.797953216374269,0.07714478825147841
159,0.7561403508771929,0.09931367364424896
160,0.7880116959064327,0.08104480439494267
161,0.7605263157894736,0.10348109783024596
162,0.7921052631578946,0.0943176234679666
163,0.7652046783625732,0.05753699502629052
164,0.7883040935672514,0.12823029324250165
165,0.7982456140350876,0.11423733751648919
166,0.7725146198830409,0.07316722001514082
167,0.7777777777777779,0.09508994911896065
168,0.8125730994152047,0.0728351949983687
169,0.80906432748538,0.09969045144117976
170,0.7874269005847954,0.0580989075165368
171,0.791812865497076,0.06755335241260188
172,0.7672514619883042,0.10561345223363096
173,0.77046783625731,0.07016630057462861
174,0.7961988304093568,0.09671292978143506
175,0.8087719298245615,0.06287841564531105
176,0.7707602339181285,0.09569224406588425
177,0.7818713450292398,0.08002513199165709
178,0.8137426900584795,0.06784696930950919
179,0.7923976608187134,0.0449570317983218
180,0.8035087719298246,0.0704283939991794
181,0.7704678362573099,0.12133093696793738
182,0.8134502923976609,0.10427410587311517
183,0.7821637426900584,0.06348800991764966
184,0.802923976608187,0.0838136358630355
185,0.7444444444444445,0.09116244453198603
186,0.8090643274853802,0.08210128528708832
187,0.7763157894736843,0.07816648679590525
188,0.77046783625731,0.08449482953603486
189,0.8032163742690057,0.08164180436997874
190,0.7973684210526316,0.0675185390883001
191,0.7929824561403509,0.08250382263648373
192,0.7654970760233918,0.05107844848726933
193,0.7874269005847953,0.07758241744667944
194,0.8236842105263158,0.08060900255159756
195,0.7707602339181286,0.1065724293886079
196,0.7935672514619883,0.09459595328425661
197,0.7865497076023391,0.093356854091207
198,0.7973684210526316,0.08560862236428865
199,0.7973684210526315,0.10321306092788389
200,0.7868421052631579,0.05921251169871906
201,0.7982456140350876,0.07275944334500954
202,0.7935672514619883,0.10655638343200152
203,0.8023391812865498,0.07423906934530224
204,0.7865497076023391,0.10425114559410223
205,0.760233918128655,0.09025572688056363
206,0.7976608187134503,0.08463182463216627
207,0.7865497076023391,0.093356854091207
208,0.8073099415204679,0.09458917449622062
209,0.797953216374269,0.08065565680635214
210,0.80906432748538,0.10426795629414075
211,0.8023391812865498,0.0809703978509131
212,0.8140350877192983,0.05377573769624631
213,0.7970760233918128,0.09886500657453094
214,0.7982456140350878,0.08810829925917756
215,0.7497076023391813,0.08576975899315716
216,0.7976608187134502,0.062463696237868654
217,0.7976608187134502,0.07077956335478454
218,0.7821637426900584,0.05896363949761723
219,0.75,0.10328924088326281
220,0.7874269005847953,0.07392573893017382
221,0.7751461988304095,0.11433047662140342
222,0.7865497076023391,0.06106842573146438
223,0.7766081871345029,0.05644410999772471
224,0.7985380116959064,0.055114438337196
225,0.7666666666666667,0.13077597745979558
226,0.7985380116959064,0.05993010874112607
227,0.7877192982456142,0.09356907892952222
228,0.8032163742690057,0.06241234748263204
229,0.771345029239766,0.09137415204670878
230,0.7926900584795321,0.10876603455067453
231,0.7871345029239766,0.07625695117054052
232,0.7827485380116959,0.07824082800771948
233,0.7988304093567251,0.09853237181701206
234,0.7663742690058479,0.08456765160969715
235,0.7716374269005848,0.08743081217168294
236,0.7921052631578946,0.06993685075064131
