epoch,mean accuracy,std of accuracies
0,0.7880116959064326,0.0691351994115974
1,0.797953216374269,0.08476960690955229
2,0.7760233918128655,0.08295234546372827
3,0.7929824561403508,0.0949891953415062
4,0.7771929824561404,0.06461657529043104
5,0.7874269005847954,0.09948441003675466
6,0.7760233918128655,0.06783625730994153
7,0.7821637426900584,0.0824670267791719
8,0.7654970760233918,0.06096754169936536
9,0.8043859649122809,0.08717619395874614
10,0.7663742690058479,0.07114882906290158
11,0.8093567251461989,0.09405756037660756
12,0.797953216374269,0.07714478825147844
13,0.8134502923976609,0.086884920628645
14,0.7982456140350876,0.037627386999170565
15,0.7973684210526316,0.058742828325005596
16,0.7877192982456139,0.060874917799640264
17,0.7979532163742691,0.07226955855739145
18,0.8187134502923976,0.09595812328316923
19,0.7871345029239766,0.062450007364736805
20,0.7716374269005847,0.08084623476701235
21,0.8087719298245613,0.10562154714141661
22,0.8152046783625732,0.09441139682156989
23,0.7929824561403508,0.0821195069366207
24,0.776608187134503,0.11709933109505334
25,0.7877192982456142,0.10299040918246229
26,0.7391812865497076,0.1519612895040904
27,0.777485380116959,0.06390678486627369
28,0.7921052631578946,0.0774544791081491
29,0.7657894736842106,0.0826451526991307
30,0.7818713450292398,0.05975509449135189
31,0.7926900584795321,0.06802818684484051
32,0.8038011695906434,0.06966738605986653
33,0.7769005847953215,0.09870792437624792
34,0.7929824561403509,0.07128508650494753
35,0.775438596491228,0.07096052075844451
36,0.797953216374269,0.06959371461107831
37,0.7818713450292398,0.05975509449135189
38,0.7722222222222221,0.08014523341093903
39,0.781578947368421,0.08472521804692754
40,0.7769005847953216,0.10855831694013562
41,0.7880116959064327,0.0767314084236603
42,0.7929824561403508,0.04192211629946851
43,0.7491228070175437,0.07848903124460967
44,0.7818713450292398,0.11637426900584794
45,0.7324561403508771,0.11645542146799784
46,0.7874269005847954,0.08442194464633032
47,0.777485380116959,0.08923112402875182
48,0.7719298245614035,0.09145084510572674
49,0.8140350877192983,0.05815994545351149
50,0.7809941520467836,0.1144351208076083
51,0.7760233918128655,0.11363101299073161
52,0.8084795321637428,0.07147014721659666
53,0.7874269005847954,0.097312208278817
54,0.7862573099415203,0.09903996952626351
55,0.7932748538011696,0.08839941023540934
56,0.7824561403508772,0.07146954908749562
57,0.791812865497076,0.08881190880266493
58,0.7663742690058479,0.0938815080847925
59,0.7818713450292398,0.07277354264624546
60,0.7821637426900585,0.05896363949761722
61,0.7435672514619883,0.1307253010698268
62,0.77046783625731,0.0967235374679713
63,0.7935672514619883,0.07120588482890268
64,0.7921052631578946,0.06252731013051488
65,0.7982456140350876,0.06078777890742906
66,0.7538011695906432,0.1510584160289613
67,0.7669590643274854,0.11218357458417898
68,0.7301169590643275,0.14465884838163923
69,0.7923976608187134,0.05593896628569881
70,0.8087719298245613,0.0724674436241388
71,0.7970760233918128,0.0687377087949245
72,0.7921052631578946,0.06252731013051488
73,0.7271929824561403,0.12522030106486606
74,0.7982456140350876,0.09015146714550681
75,0.7921052631578946,0.07464391719124495
76,0.7976608187134502,0.08129286020353284
77,0.8140350877192983,0.09479458207229066
78,0.7546783625730995,0.07388409257847357
79,0.7982456140350876,0.06518566318598815
80,0.7187134502923976,0.12811422778373907
81,0.7988304093567251,0.08655958533802859
82,0.7985380116959064,0.0962201579657126
83,0.8301169590643276,0.09078888512018357
84,0.7614035087719297,0.1019809938900605
85,0.8038011695906434,0.05649331658628868
86,0.781578947368421,0.06953963927766392
87,0.8084795321637426,0.08304556860480385
88,0.7596491228070177,0.098010369989217
89,0.7929824561403509,0.07907505377256312
90,0.775438596491228,0.06741399124758661
91,0.8023391812865498,0.09399754858637686
92,0.8038011695906432,0.09250539651349098
93,0.7982456140350878,0.08040669852065528
94,0.804093567251462,0.09053946139651067
95,0.7926900584795321,0.060384895666355506
96,0.8035087719298245,0.05742916349563002
97,0.797953216374269,0.08725461716070555
98,0.7608187134502924,0.07870658538228054
99,0.777485380116959,0.08607076666868883
100,0.791812865497076,0.10824875754073998
101,0.8032163742690057,0.07817523649012689
102,0.8078947368421053,0.0872114931265409
103,0.7929824561403509,0.06775554787349819
104,0.7818713450292397,0.08667211195811124
105,0.7336257309941521,0.06825403216320149
106,0.7926900584795321,0.07573550981140725
